"Id","Price"
40509,8546211.219002316
40510,1.7643351471294832E8
40511,1.0546497878642716E8
40512,1.3376939620143986E8
40513,2.683833233748966E7
40514,6.461684611902402E7
40515,5.9331780301445186E7
40516,9.572718816956116E7
40517,9351635.077246044
40518,7417452.486779489
40519,1.0530706254063511E7
40520,2.0995802573781945E7
40521,8364784.410613477
40522,1.1278301545164304E7
40523,1.6724139673534963E7
40524,6890708.378482437
40525,1.2274866193982372E8
40526,1.4086109086319053E8
40527,7451672.43887237
40528,6182310.181756083
40529,1.6357557438071755E8
40530,1.3540218521703297E8
40531,1.0806118202721402E8
40532,3.136638602730479E7
40533,4348726.270368286
40534,1.9143804584512983E7
40535,3.4688765777200186E8
40536,8762108.26375053
40537,1.902459818094885E7
40538,8665466.413196564
40539,1.4359148738025782E8
40540,7757796.276004968
40541,2.2265095090417325E7
40542,3.169980591092572E7
40543,1.0380982255858144E8
40544,2.426499246146328E7
40545,1.220318380457731E7
40546,7352459.746429827
40547,2.2991416836198977E8
40548,7.699444803408816E7
40549,1.788428906528186E7
40550,1.2719361582365446E7
40551,1.228714028769237E8
40552,7514699.014403556
40553,3.5737417050100744E8
40554,2.5342211408406708E8
40555,1.1890859713643853E7
40556,6455036.85589377
40557,1.068253199630044E7
40558,7.504442140648305E7
40559,6478833.362679498
40560,7209101.524008002
40561,1.4649532950524542E8
40562,1.9717458875746265E7
40563,2.003709147172685E7
40564,6.304489069422682E7
40565,1.488636654993567E8
40566,5032487.760320444
40567,1.1130742540155634E8
40568,2.9127659910461698E7
40569,8251264.590764341
40570,1.3559725892454864E7
40571,6762350.162788525
40572,8896026.04240377
40573,9296420.331844326
40574,8.93827343767517E7
40575,1.057105139768212E7
40576,7.627039353138462E7
40577,9651336.412637811
40578,6332844.255456314
40579,5239610.08890003
40580,7.003686080285975E7
40581,3.5891397387467824E7
40582,3.6628206645450406E7
40583,6147570.61444306
40584,6552743.311267002
40585,1.0601139567238054E8
40586,3.033374270882104E8
40587,7806831.808722601
40588,5502249.212926465
40589,6928200.074567282
40590,1.0802630812677452E7
40591,1.110082402475904E7
40592,2.5084519876139447E7
40593,7.534834635010788E7
40594,1.5097068784496805E7
40595,2.0109072714836683E7
40596,1.5851193902137425E7
40597,5680971.1027443465
40598,7394081.630969071
40599,1.6845398915041443E7
40600,2.346050978818056E8
40601,1.5300147369202172E7
40602,1.206532742141922E8
40603,7092935.690051039
40604,1.073548385918935E7
40605,1.0837518082682008E7
40606,6.788080328872436E7
40607,1.0043132671009928E7
40608,5845817.365704359
40609,6742427.011811972
40610,1.73150216289201E7
40611,7.7233746220796E7
40612,9560320.87800292
40613,2.6986941098315574E7
40614,1.5753252554168036E7
40615,1.901299311591732E8
40616,1.6544113760160364E7
40617,1.499009841461234E7
40618,1.2170299797602477E7
40619,2.740505462120756E7
40620,7776275.853143644
40621,5965411.357073445
40622,1.4234208264364796E7
40623,1.254584679987798E8
40624,5864092.522106082
40625,9.757740272179475E7
40626,1.283925296294735E7
40627,9500380.115593364
40628,5.988128410279564E7
40629,1.6972760658891205E7
40630,1.1121774156666793E7
40631,4685767.604105116
40632,1.2949053810317071E7
40633,1.0349980827903625E7
40634,9639677.124547562
40635,1.376011559631421E7
40636,1.0723043040178835E7
40637,4.080558625916677E7
40638,8786341.38165107
40639,2.5133939301487863E7
40640,4.298791134952521E7
40641,4744036.018525697
40642,2.0788003121088665E7
40643,2.012045915073371E7
40644,9500404.636893798
40645,1.454774795109196E7
40646,5810641.672452222
40647,6700609.478451131
40648,1.2967533165292377E7
40649,4998158.628830314
40650,2.142023748792629E7
40651,1.731384602837679E7
40652,7962630.24172741
40653,8656781.42972424
40654,1.356759503217594E7
40655,5.088531085842129E7
40656,5399727.090179031
40657,9325692.636323132
40658,1.215932901353681E7
40659,4796808.809575322
40660,8735147.725431353
40661,2.233712064168806E7
40662,1.8271510231040013E8
40663,1.044164769495453E7
40664,8732484.452038309
40665,8939356.677978937
40666,5.897000301851894E7
40667,8108913.253492851
40668,1.2146499869762624E7
40669,1.664347062047098E7
40670,1.7526266052836028E8
40671,4202570.580357828
40672,1.3492986469933754E8
40673,2.4807358025204965E8
40674,9.190469277937923E7
40675,7.959946769597569E7
40676,9095341.662848292
40677,6732031.370354243
40678,7550763.088275046
40679,7651840.865420326
40680,5340913.377009938
40681,1.768355296094385E7
40682,5686318.191458112
40683,5573479.887230144
40684,1.0856342529372731E7
40685,5.6349416954178296E7
40686,3.430607942527946E7
40687,6.81341513857102E7
40688,2.968514551538645E7
40689,9.538331701195768E7
40690,6.060656062729082E7
40691,1.9384017846957237E7
40692,1.847854506249793E7
40693,8254933.208612685
40694,1.1315273182047006E7
40695,2.1440316693111632E7
40696,5886132.250460513
40697,1.0860291964168534E8
40698,5940568.746334166
40699,1.0195688274495283E7
40700,1.5611906212223474E7
40701,1.1484812819890708E7
40702,1.6567277084086409E7
40703,1.0775306639269928E7
40704,8352895.240455007
40705,5281797.350158916
40706,4802919.407374587
40707,6614355.624969191
40708,1.1043976947497394E7
40709,8356759.859613494
40710,1.073174899322713E7
40711,2.0159489207705E7
40712,1.0793739432615347E7
40713,1.4145903041216932E7
40714,8991116.334623652
40715,1.1173203291402224E7
40716,4.730207939451007E7
40717,2.3883944715650253E7
40718,1.2872656969593752E7
40719,3.3926598418315634E7
40720,1.2187371397582635E7
40721,4892325.315978921
40722,9.379261604001136E7
40723,2.2373623744291008E7
40724,4.479632364236094E7
40725,9086452.31811648
40726,1.5699070405634898E8
40727,1.5673793026882524E7
40728,5403419.679988519
40729,7159721.041083703
40730,8892601.36522823
40731,1.8628180934184211E8
40732,3.069703420234375E7
40733,5552809.394527986
40734,1.1322956396539452E7
40735,1.462480882094419E7
40736,9635866.808359131
40737,1.1911848851829125E7
40738,1.673772146240054E8
40739,3.095758323625317E7
40740,1.17481442849154E7
40741,5772267.674991592
40742,7.457665534026319E7
40743,6370526.28573401
40744,4654632.778181438
40745,2.088440276302111E7
40746,9465957.179745125
40747,1.861162338388826E7
40748,2.239106367383811E7
40749,1.26285264101409E7
40750,8.619074816004333E7
40751,8184655.244448082
40752,6243415.711824736
40753,1.2295820112173334E7
40754,6677331.77150048
40755,3.0265411394815072E7
40756,1.2480260035364814E7
40757,1.8727389460547864E7
40758,1.2043380782909725E7
40759,1.6980588678011503E7
40760,1.06103357356367E7
40761,1.0302793505584717E7
40762,1.3117395237927023E7
40763,2.3205236227983627E7
40764,1.6344001020939087E7
40765,2.0418666148787457E7
40766,8598434.505937574
40767,3.826794968999982E7
40768,7.845255239313842E7
40769,9.227542573241717E7
40770,1.2797981815693798E7
40771,1.1783334783947006E7
40772,6445804.920504238
40773,4759110.289553203
40774,5.166692644967117E7
40775,4944837.928441425
40776,1.9806651032546617E7
40777,1.5433093610363482E7
40778,8099348.424575751
40779,7.41837188824474E7
40780,3.0336893952531453E7
40781,9325904.002274228
40782,2.4817830228499062E7
40783,1.401514108988536E8
40784,9048724.585281918
40785,8.240815292502615E7
40786,1.374883255453766E7
40787,7.408996214026439E7
40788,7.935083432784884E7
40789,4761065.557683091
40790,8030632.225309322
40791,4.661771788727972E7
40792,9251115.359155364
40793,1.0652022084588084E7
40794,3.0088340374302667E7
